title,artist,genre,mood,energy,language,link
Kesariya,Arijit Singh,Romantic,Romantic,High,Hindi,https://www.youtube.com/results?search_query=Kesariya+Arijit+Singh
Tum Hi Ho,Arijit Singh,Romantic,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Tum+Hi+Ho+Arijit+Singh
Channa Mereya,Arijit Singh,Sad,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Channa+Mereya+Arijit+Singh
Apna Bana Le,Arijit Singh,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Apna+Bana+Le+Arijit+Singh
Ae Dil Hai Mushkil,Arijit Singh,Bollywood,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Ae+Dil+Hai+Mushkil+Arijit+Singh
Kalank Title Track,Arijit Singh,Bollywood,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Kalank+Title+Track+Arijit+Singh
Shayad,Arijit Singh,Pop,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Shayad+Arijit+Singh
Agar Tum Saath Ho,Arijit Singh,Sad,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Agar+Tum+Saath+Ho+Arijit+Singh
Khairiyat,Arijit Singh,Sad,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Khairiyat+Arijit+Singh
Ghodey Pe Sawar,Amit Trivedi,Indie,Happy,High,Hindi,https://www.youtube.com/results?search_query=Ghodey+Pe+Sawar+Amit+Trivedi
Sun Raha Hai Na Tu,Ankit Tiwari,Sad,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Sun+Raha+Hai+Na+Tu
Teri Ore,Shreya Ghoshal,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Teri+Ore+Shreya+Ghoshal
Param Sundari,Shreya Ghoshal,Pop,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Param+Sundari+Shreya+Ghoshal
Sunn Raha Hai (Female),Shreya Ghoshal,Sad,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Sunn+Raha+Hai+Female+Shreya+Ghoshal
Deewani Mastani,Shreya Ghoshal,Classical,Romantic,High,Hindi,https://www.youtube.com/results?search_query=Deewani+Mastani+Shreya+Ghoshal
Manwa Laage,Shreya Ghoshal,Romantic,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Manwa+Laage+Shreya+Ghoshal
Ghar More Pardesiya,Shreya Ghoshal,Classical,Happy,High,Hindi,https://www.youtube.com/results?search_query=Ghar+More+Pardesiya+Shreya+Ghoshal
Raataan Lambiyan,Jubin Nautiyal,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Raataan+Lambiyan+Jubin+Nautiyal
Lut Gaye,Jubin Nautiyal,Pop,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Lut+Gaye+Jubin+Nautiyal
Tum Hi Aana,Jubin Nautiyal,Sad,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Tum+Hi+Aana+Jubin+Nautiyal
Humnava Mere,Jubin Nautiyal,Sad,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Humnava+Mere+Jubin+Nautiyal
Tujhe Kitna Chahne Lage,Arijit Singh,Romantic,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Tujhe+Kitna+Chahne+Lage+Arijit+Singh
Pehla Pyaar,Armaan Malik,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Pehla+Pyaar+Armaan+Malik
Main Rahoon Ya Na Rahoon,Armaan Malik,Romantic,Peaceful,Medium,Hindi,https://www.youtube.com/results?search_query=Main+Rahoon+Ya+Na+Rahoon+Armaan+Malik
